2940.74 5717.58 0 0.12 0.56 0.26 0.04 0.0347619 0.0669724 0 0.14 0.52 0.28 0.04 0.0337344 0.188251 0.22 0.3 0.14 0.2 0.06 music
3094.38 3757.96 0 0 0.16 0.32 0.5 0.0307029 0.046467 0 0.02 0.44 0.48 0.04 0.0376192 0.125819 0 0.04 0.3 0.14 0.06 music
2139.33 2872.67 0 0 0.44 0.42 0.12 0.0367347 0.0665949 0 0.12 0.42 0.4 0.04 0.0202581 0.0956989 0.14 0.2 0.16 0.16 0.12 music
1307.02 1638.94 0 0 0.22 0.5 0.26 0.0527664 0.0581934 0 0 0.26 0.64 0.08 0.00975176 0.0386034 0 0.2 0.26 0.22 0.1 music
1328.71 6048.95 0 0.8 0.02 0.1 0.06 0.0563265 0.0938436 0 0.02 0.2 0.4 0.36 0.0152233 0.165356 0.78 0.1 0 0.04 0.04 music
2800.3 2716.06 0 0 0.02 0.46 0.52 0.0297732 0.0369764 0 0 0.22 0.64 0.12 0.0246193 0.12539 0.06 0.24 0.22 0.2 0.04 music
2135.92 1847.62 0 0 0 0.62 0.36 0.0347619 0.0459039 0 0 0.24 0.64 0.1 0.0213247 0.112017 0.1 0.42 0.2 0.08 0.06 music
1431.99 2194.31 0 0 0.3 0.28 0.4 0.0468027 0.0818691 0 0.06 0.5 0.34 0.08 0.0128044 0.0557614 0.1 0.3 0.26 0.14 0.14 music
928.592 569.774 0 0 0 0.34 0.64 0.069229 0.0760975 0 0 0.24 0.64 0.1 0.00704035 0.0189724 0 0.08 0.08 0.14 0.2 music
1603.49 8418.32 0.42 0.3 0.02 0.16 0.08 0.0599546 0.148302 0 0.22 0.06 0.18 0.52 0.0139426 0.09645 0.5 0.28 0.06 0.12 0.02 music
3075.61 4811.83 0 0 0.32 0.36 0.3 0.0289569 0.0482415 0 0.02 0.54 0.3 0.12 0.0373317 0.151973 0.02 0.18 0.2 0.16 0.06 music
2114.11 1475.88 0 0 0 0.32 0.66 0.0321088 0.0533589 0 0.14 0.6 0.24 0 0.0197425 0.075225 0 0.16 0.26 0.2 0.14 music
1147.25 1306.98 0 0 0.48 0.44 0.06 0.05322 0.0713729 0 0 0.18 0.42 0.38 0.00708049 0.0285939 0.06 0.32 0.22 0.26 0.06 music
1499.81 4229.77 0 0.62 0.2 0.08 0.08 0.0489796 0.0785838 0 0 0.44 0.36 0.18 0.0174736 0.159096 0.52 0.3 0.06 0.04 0 music
2980.41 2719.34 0 0 0.06 0.56 0.36 0.0695465 0.134311 0 0.14 0.7 0.1 0.04 0.0958919 0.521141 0.18 0.34 0.18 0.12 0.14 music
