2254.84 20064.4 0.413333 0.286667 0.193333 0.08 0.02 0.0583447 0.837629 0.806667 0.06 0.0533333 0.0466667 0.0266667 0.027562 0.618202 0.8 0.0733333 0.06 0.0133333 0.0133333 speech
2188.56 16296.5 0.266667 0.306667 0.22 0.16 0.04 0.0429252 0.517323 0.833333 0.0866667 0.0466667 0.02 0.00666667 0.0181411 0.280665 0.586667 0.16 0.106667 0.0533333 0.04 speech
1391.67 16044.3 0.653333 0.24 0.08 0.0133333 0.00666667 0.0655556 0.755371 0.633333 0.18 0.133333 0.0266667 0.02 0.0176385 0.534408 0.893333 0.0533333 0.00666667 0.0133333 0.00666667 speech
2464.67 20315 0.34 0.28 0.24 0.106667 0.0266667 0.0608314 0.922271 0.786667 0.1 0.0333333 0.00666667 0.0666667 0.0337749 0.641316 0.72 0.153333 0.0733333 0.0333333 0.00666667 speech
2197.05 21780 0.48 0.246667 0.166667 0.08 0.0266667 0.052706 0.571313 0.7 0.193333 0.0733333 0.00666667 0.02 0.0267943 0.512936 0.693333 0.1 0.0666667 0.0266667 0.0466667 speech
1931.28 16310.9 0.353333 0.28 0.206667 0.133333 0.02 0.0712925 0.983798 0.72 0.1 0.0333333 0.08 0.06 0.0207921 0.340838 0.58 0.166667 0.106667 0.0866667 0.0133333 speech
989.417 13960.3 0.673333 0.193333 0.0533333 0.04 0.0333333 0.0753137 0.931998 0.66 0.133333 0.0933333 0.0733333 0.0333333 0.00625147 0.156841 0.82 0.08 0.0333333 0.00666667 0.02 speech
2496.57 19791 0.273333 0.306667 0.18 0.146667 0.0866667 0.0494785 0.78462 0.846667 0.0733333 0.02 0.02 0.0333333 0.0369997 0.611967 0.64 0.16 0.0733333 0.06 0.0266667 speech
1859.31 17584 0.42 0.28 0.186667 0.0933333 0.0133333 0.0508163 0.65451 0.793333 0.0733333 0.06 0.0333333 0.0333333 0.0221605 0.402435 0.673333 0.133333 0.0733333 0.04 0.0333333 speech
1791.05 19997.7 0.513333 0.2 0.14 0.0933333 0.0466667 0.0808919 0.881539 0.606667 0.14 0.153333 0.0666667 0.0266667 0.0235742 0.485795 0.706667 0.106667 0.0866667 0.00666667 0.0533333 speech
1424.39 15502.4 0.64 0.166667 0.153333 0.0333333 0 0.0645956 1.00272 0.82 0.04 0.0333333 0.0266667 0.0733333 0.0143017 0.348135 0.806667 0.113333 0.0333333 0.0133333 0.02 speech
1171.51 11457.5 0.526667 0.353333 0.1 0.0133333 0 0.0580801 0.834968 0.793333 0.0733333 0.06 0.0133333 0.0533333 0.00725029 0.146107 0.7 0.153333 0.0533333 0.04 0.02 speech
